run_id,seed,config_hash,iteration,mg,phase,episode_reward,display_reward
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,20,2,1,-8815.13395154613,-9585.410895368079
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,20,3,1,-7556.596567730077,-7479.749888628199
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,21,1,1,-29498.471270800845,-30851.713066602864
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,21,2,1,-8509.033995552389,-9534.154852519712
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,21,3,1,-7758.35942570537,-7493.017009441397
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,22,1,1,-28380.583291001727,-30739.388985893722
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,22,2,1,-9887.917036498771,-9550.234951791486
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,22,3,1,-6925.610658694597,-7467.225811680179
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,23,1,1,-30823.67311503729,-30743.05351324779
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,23,2,1,-11322.128448991658,-9627.273799495842
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,23,3,1,-6492.747898636648,-7424.857206765242
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,24,1,1,-31200.198539563724,-30762.10122267762
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,24,2,1,-7800.979292224298,-9551.178195026196
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,24,3,1,-9499.935875803849,-7511.318817975185
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,25,1,1,-30931.674163002102,-30768.8841402906
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,25,2,1,-9791.615412345487,-9560.795683718967
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,25,3,1,-8618.804370737476,-7555.618240085676
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,26,1,1,-31263.89505541933,-30795.694005213318
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,26,2,1,-10336.060784681547,-9632.89233345673
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,26,3,1,-6952.961045532889,-7528.735890274148
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,27,1,1,-28984.74899823224,-30620.90707853024
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,27,2,1,-9300.946823134824,-9640.119025542483
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,27,3,1,-10698.025161844644,-7593.968515279777
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,28,1,1,-30131.952778764244,-30524.584228778902
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,28,2,1,-11242.135791729794,-9606.535901453544
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,28,3,1,-7074.750326447122,-7630.17862215594
