iteration,mg,algorithm,episode_reward,display_reward
150,1,F-MADRL,-30286.36644689922,-30665.650962806172
151,1,F-MADRL,-31425.231731112683,-30698.22288624924
152,1,F-MADRL,-30641.5752433214,-30780.31659584062
153,1,F-MADRL,-32237.9055593653,-30835.658066927543
154,1,F-MADRL,-28821.73338520802,-30736.88769828775
155,1,F-MADRL,-32014.24620383685,-30783.176437038546
156,1,F-MADRL,-30472.42736820347,-30756.154216180606
157,1,F-MADRL,-30344.25701921409,-30730.58836199956
158,1,F-MADRL,-29523.938272709383,-30687.566071236106
159,1,F-MADRL,-29650.943946357747,-30560.577871956728
160,1,F-MADRL,-31050.058175122653,-30738.91016223453
161,1,F-MADRL,-30759.788075256856,-30736.50395869387
162,1,F-MADRL,-29982.562006749074,-30680.788440836357
163,1,F-MADRL,-28854.732432875426,-30537.56358672584
164,1,F-MADRL,-28251.9832601045,-30429.972620212637
165,1,F-MADRL,-30538.665843768755,-30387.15103107851
166,1,F-MADRL,-32081.38844188962,-30480.570415259892
167,1,F-MADRL,-29872.42626463445,-30521.820471291485
168,1,F-MADRL,-33340.03041117696,-30716.6690457902
169,1,F-MADRL,-30759.16489594093,-30783.4670102631
170,1,F-MADRL,-30959.261307173037,-30724.669671450563
171,1,F-MADRL,-31699.44823167721,-30748.16751251449
172,1,F-MADRL,-29333.36978057063,-30650.98669477659
173,1,F-MADRL,-30494.21767387892,-30626.892611419382
174,1,F-MADRL,-30651.91701817349,-30561.905559808827
175,1,F-MADRL,-29540.87062546771,-30532.085726951565
176,1,F-MADRL,-30002.515860512496,-30475.177092127557
177,1,F-MADRL,-30771.63228007004,-30480.3793735975
178,1,F-MADRL,-28175.72693628593,-30317.89222867433
179,1,F-MADRL,-29016.333968368766,-30325.67625200076
180,1,F-MADRL,-32528.09447911533,-30346.2301830119
181,1,F-MADRL,-29967.746533100064,-30326.042949607763
182,1,F-MADRL,-31242.534245971576,-30361.97403867806
183,1,F-MADRL,-28497.66130046432,-30320.92295978826
184,1,F-MADRL,-30766.92141489869,-30365.5620585299
185,1,F-MADRL,-29204.156212840884,-30291.725980038624
186,1,F-MADRL,-30554.04925236948,-30283.496427123133
187,1,F-MADRL,-27971.86238788045,-30203.068442368385
