figure,mg,hour,plot_hour,p_cg,p_ba,unbalanced,cg_error_kw,ba_error_kw,unbalanced_error_kw
8,3,8,7,136.76348547717842,0.0,-18.04255319148936,0.5,0.15,1.0
8,3,9,8,143.40248962655602,0.0,-17.53191489361702,0.5,0.15,1.0
8,3,10,9,142.36514522821577,0.0,-3.914893617021277,0.5,0.15,1.0
8,3,11,10,148.64107883817428,0.0,14.46808510638298,0.5,0.15,1.0
8,3,12,11,128.6721991701245,0.0,9.53191489361702,0.5,0.15,1.0
8,3,13,12,126.96058091286307,0.0,-5.957446808510638,0.5,0.15,1.0
8,3,14,13,117.00207468879668,0.0,2.8936170212765955,0.5,0.15,1.0
8,3,15,14,111.2448132780083,0.0501002004008016,-12.085106382978722,0.5,0.15,1.0
8,3,16,15,128.10165975103735,0.0,-26.212765957446805,0.5,0.15,1.0
8,3,17,16,129.86514522821577,0.0,-20.76595744680851,0.5,0.15,1.0
8,3,18,17,135.36307053941908,0.0,-21.106382978723403,0.5,0.15,1.0
8,3,19,18,162.59336099585062,0.0,4.25531914893617,0.5,0.15,1.0
8,3,20,19,124.83402489626556,0.0,-37.95744680851064,0.5,0.15,1.0
8,3,21,20,133.54771784232366,0.0,-26.382978723404253,0.5,0.15,1.0
8,3,22,21,129.6058091286307,0.0,-18.21276595744681,0.5,0.15,1.0
8,3,23,22,156.78423236514521,0.0,31.319148936170215,0.5,0.15,1.0
8,3,24,23,134.27385892116183,0.0,41.53191489361702,0.5,0.15,1.0
