mg,hour,cg,ba_plot,u_plot,u_paper,u_alternative
2,21,133.0612244897959,0.1518218623481781,-4.89451476793249,-6.268014574898785,-4.90809139882677
2,22,128.16326530612247,0.1518218623481781,1.350210970464135,-0.15161457489872987,1.1911290093365494
2,23,124.48979591836736,0.1518218623481781,11.9831223628692,10.634185425101236,11.952294315459
2,24,129.14285714285714,0.1518218623481781,51.9831223628692,50.34638542510123,51.77992492770386
3,1,125.66390041493776,24.8997995991984,25.53191489361702,73.29282601385343,26.011659807581978
3,2,134.06639004149378,0.0501002004008016,46.80851063829788,45.056760437056695,46.68242694268203
3,3,129.81327800829877,0.0501002004008016,44.93617021276596,43.04491064452557,44.67994602981898
3,4,122.03319502074687,0.0501002004008016,36.765957446808514,34.86662931672471,36.39576387214261
3,5,139.9792531120332,0.0,37.7872340425532,35.98486804979254,37.66206058091288
3,6,142.9875518672199,0.0,36.25531914893617,34.244800829875516,35.97617634854771
3,7,125.66390041493776,0.0,6.127659574468085,4.664422406639005,6.209161410788369
3,8,136.76348547717842,0.0,-18.04255319148936,-19.584784232365138,-17.965649377593337
3,9,143.40248962655602,0.0,-17.53191489361702,-19.286560165975118,-17.582035269709536
3,10,142.36514522821577,0.0,-3.914893617021277,-5.720557676348562,-3.832706224066385
3,11,148.64107883817428,0.0,14.46808510638298,12.332057261410796,14.456568049792537
3,12,128.6721991701245,0.0,9.53191489361702,7.521155186721984,9.536677178423247
3,13,126.96058091286308,0.0,-5.957446808510638,-8.0134307053942,-6.156424896265548
3,14,117.00207468879668,0.0,2.8936170212765955,1.033233195020756,2.9526539419087214
3,15,111.2448132780083,0.0501002004008016,-12.085106382978722,-13.9723847911591,-12.252934053168588
3,16,128.10165975103735,0.0,-26.212765957446805,-28.013973443983417,-26.316156846473035
3,17,129.86514522821577,0.0,-20.76595744680851,-22.12115767634853,-20.438006224066356
3,18,135.36307053941908,0.0,-21.106382978723403,-22.63279087136931,-20.96986016597512
3,19,162.59336099585062,0.0,4.25531914893617,2.352493775933624,4.247927385892126
3,20,124.83402489626556,0.0,-37.95744680851064,-39.037055601659745,-37.52651535269709
3,21,133.54771784232366,0.0,-26.382978723404253,-27.670036514522792,-26.006159336099557
3,22,129.6058091286307,0.0,-18.21276595744681,-19.616707053941894,-17.96044896265559
3,23,156.7842323651452,0.0,31.319148936170212,28.743947717842275,30.684090041493732
3,24,134.27385892116183,0.0,41.53191489361702,39.845981742738616,41.62992033195022
