seed,algorithm,mg,training_last50_mean,evaluation_reward,abs_deficit,cg_cost,ba_cost
1,A2C-MADRL,1,-47796.05529624465,-44251.92168974524,5310.816331360304,18827.45088247683,5619.231436141128
1,A2C-MADRL,2,-26499.24365787541,-17298.989651591157,510.6634116138706,25504.81140609848,3459.7904037725602
1,A2C-MADRL,3,-23510.701458677213,-16686.062109681192,824.8904689147386,18598.35418257863,4386.470312695053
1,TRPO-MADRL,1,-48297.680821598646,-47282.05707113279,6402.317339804681,11470.468586843699,3144.5024007913967
1,TRPO-MADRL,2,-34384.12044946177,-33539.50792000466,1780.024884722193,18487.768618859627,25952.459794373422
1,TRPO-MADRL,3,-15872.913062566153,-15551.428372574064,1073.0407806856413,16333.06866019762,3161.377388321329
2,F-MADRL,1,-41794.22494597995,-40902.58360197226,4499.34254908036,25265.94972070099,2786.4505956343482
2,F-MADRL,2,-21733.53007249213,-17464.872288198712,974.8999218851466,19222.6023983904,3224.57720406562
2,F-MADRL,3,-19108.329290894413,-19386.434962019397,2086.422647814581,8883.239342772516,3191.1115001143407
2,PPO-MADRL,1,-50219.49405021583,-51678.09130264485,5575.520163377241,16253.070458779914,19805.02286760401
2,PPO-MADRL,2,-22004.46031049677,-19241.240585110092,1547.5302686110085,15389.838412986319,3242.2961452699333
2,PPO-MADRL,3,-18435.529140275532,-16989.87705649014,1281.1486924049918,14583.6385330298,3161.377388321329
2,A2C-MADRL,1,-49180.21951953411,-48320.061391654475,5523.717102299661,16877.91275994553,13028.503235109594
2,A2C-MADRL,2,-28297.345875420448,-17905.19068553527,662.0794952110992,23283.602831511846,4534.082808582494
2,A2C-MADRL,3,-20880.852999095758,-16753.098692077052,1055.6150396432677,16274.367523187908,3534.6017636755796
2,TRPO-MADRL,1,-43801.99459731363,-43816.64207243391,6737.617536630294,9273.459515602297,2786.4505956343482
2,TRPO-MADRL,2,-24605.48875081293,-19625.45485122186,616.1607122999644,29508.31964528204,2973.913991977838
2,TRPO-MADRL,3,-21230.74339418019,-20557.999795735694,1434.9097682147617,13818.508586687525,9990.855248414155
3,F-MADRL,1,-45690.685708849654,-46077.10607478474,6530.433028361094,10033.463146996026,2840.2739883786057
3,F-MADRL,2,-20842.351673021443,-18522.35881045147,1323.4036335622911,16864.647053261127,3144.7865318567747
3,F-MADRL,3,-19065.83872267463,-19028.81492770048,1965.4371856202258,9705.313595660256,3188.8542936267454
3,PPO-MADRL,1,-45984.30849496751,-42959.27336432124,5316.012420914978,18794.695459874223,3594.9066043870425
3,PPO-MADRL,2,-20662.0807313972,-20885.589915652345,2133.5202466652227,11689.263274528063,2981.9935126900577
3,PPO-MADRL,3,-18549.884581253908,-17729.112616968174,1565.9327346005043,12506.926147101207,3163.2753373963906
3,A2C-MADRL,1,-48096.62402830892,-45347.619400548196,5463.08360286981,17669.57144499842,7077.989969747745
3,A2C-MADRL,2,-26413.53435870847,-17827.160436797203,768.6451713511233,21487.13498263713,4356.636934367107
3,A2C-MADRL,3,-21198.086047912748,-16531.52184296514,939.2991004454653,17225.401626531268,3691.5832028943064
3,TRPO-MADRL,1,-55081.3812026579,-54880.79772238702,6038.981291994738,12984.773470291235,25054.92590304926
3,TRPO-MADRL,2,-21702.31674208811,-21752.350026529202,2431.8088401223577,9898.686901754434,3068.265310400164
3,TRPO-MADRL,3,-22615.45536838447,-21825.547129517196,2901.6237301565334,3661.6283479904637,3161.377388321329
4,F-MADRL,1,-41496.99573215322,-41038.18867833975,4578.584757945029,24617.05733281735,2786.4505956343482
4,F-MADRL,2,-20594.369537419356,-18103.934529175436,1166.664922184937,17916.270189860974,3121.5216102451022
4,F-MADRL,3,-18701.83573165236,-17271.934497384034,1330.7750774274302,14215.77457188438,3219.1939955003877
4,PPO-MADRL,1,-39078.64604376568,-38643.59001353995,3335.825016831327,35297.09183207681,2786.4505956343482
4,PPO-MADRL,2,-20567.485449739463,-19112.42569816934,1500.0025081404756,15701.307741219558,3132.5837041732398
4,PPO-MADRL,3,-18718.80170997354,-17131.38877662421,1283.2616939456584,14566.990911554436,3161.377388321329
4,A2C-MADRL,1,-45531.06865740375,-42248.86728764977,4992.807952171603,21297.51486721074,3397.628127305651
4,A2C-MADRL,2,-23778.154504423557,-17461.56195511746,779.0235795654219,21107.070417058883,3537.5797196890812
4,A2C-MADRL,3,-19251.822564021088,-16986.231982237776,1190.4264579024953,15258.101921801108,3331.5827831387883
4,TRPO-MADRL,1,-55926.62648940528,-55881.69232848324,6196.291975617345,11894.533952206148,25054.92590304926
4,TRPO-MADRL,2,-23949.699065267658,-23002.583224770766,1191.8278466789507,26507.99501282265,2973.913991977838
4,TRPO-MADRL,3,-21564.036065798,-17722.34139936598,1650.7353272605376,13329.14724368967,3161.377388321329
